,,area,decoration_level,distance_to_metro,house_price,num_floor,rooms,unit_price
520,,66.42, ,1183,339,17,2,51039
521,,41.57, ,825,350,6,2,84195
522,,112.5,精装, ,450,7,3,40000
523,,126.35, ,733,750,24,5,59359
524,,70.7, ,370,350,6,3,49505
525,,126.49, ,1047,505,13,4,39924
526,,179.2, ,410,990,19,6,55246
527,,146.06,精装,273,810,28,5,55457
528,,91.32, ,426,470,18,4,51467
529,,51.26, ,465,385,20,1,75107
530,,40.7,精装,858,260,25,1,63882
531,,42.22, ,548,315,6,2,74609
532,,79.78,简装,522,415,25,3,52018
533,,113.3, ,537,1582,21,4,139629
534,,62.26, ,986,318,28,2,51076
535,,50.61, ,805,499,5,3,98597
536,,146.2, , ,990,4,6,67715
537,,156, ,258,1380,22,5,88462
538,,152, ,1272,645,20,5,42434
539,,54.95,精装,858,360,24,2,65514
540,,196,精装,655,1450,28,5,73980
541,,48.98, ,77,290,22,2,59208
542,,58.82, ,679,260,18,2,44203
543,,85.18, ,927,900,22,4,105659
544,,93.12, ,579,530,26,4,56916
545,,178.55, ,230,1030,25,5,57687
546,,93.25, ,493,480,28,3,51475
547,,42.3, ,380,455,6,2,107565
548,,131.8, ,1261,499,6,5,37860
549,,40.52, ,846,263,14,2,64906
550,,70.4, , ,225,6,3,31960
551,,60.4, ,375,800,6,3,132450
552,,48.98, ,77,280,22,2,57166
553,,73.5,精装,406,1014,6,3,137959
554,,64.46,中装,371,360,6,3,55849
555,,72.91, ,465,500,11,2,68578
556,,57,精装,487,427,6,3,74912
557,,67.67, ,1073,450,11,2,66499
558,,148.9, , ,410,7,4,27535
559,,96.86, , ,345,12,3,35618
560,,53.99, ,714,375,6,3,69457
561,,84.64, ,1102,635,24,3,75024
562,,152.4, ,434,508,17,4,33333
563,,65.88, , ,319,6,2,48421
564,,81.54, ,756,838,16,4,102772
565,,216.52,精装,655,1700,26,6,78515
566,,57.93, ,247,418,7,3,72156
567,,147.78,精装,584,688,6,6,46556
